zip,total,pct_total
20647,10,4.919198959609097e-5
20650,15514.9,0.07632087993843917
20653,14846.55,0.07303313331378443
20657,21773.5,0.10710817854704865
20658,1210.68,0.005955575796419542
20659,8196.36,0.040319525584581614
20662,1315.18,0.0064696320876986915
20664,2169,0.010669742543392131
20667,428.5,0.002107876754192498
20670,211,0.0010379509804775194
20674,1663.22,0.008181710093601042
20675,4320,0.0212509395055113
20676,14001.13,0.06887434412935171
20677,2125,0.01045329778916933
20678,6720.36,0.03305878792019859
20680,3675,0.01807805617656343
20682,25,1.2297997399022742e-4
20684,193,9.494053992045557e-4
20685,6451.44,0.03173591693598051
20686,3420.7,0.016827103881134838
20687,268,0.001318345321175238
20688,16402.21,0.08068573436728992
20689,762,0.003748429607222132
20690,1415.24,0.006961847135597179
20692,220.47,0.0010845357946250174
20693,910.9,0.0044808983323079265
20695,8587.4,0.042243129145747155
20696,55,2.7055594277850036e-4
20698,92.85,4.567476233997046e-4
20701,1345,0.006616322600674236
20702,159,7.821526345778464e-4
20703,165.24,8.128484360858071e-4
20704,43,2.1152555526319117e-4
20705,41035.37,0.20186114941117436
20706,45613.48,0.22438178336015038
20707,66373.67,0.3265052884094375
20708,29724.83,0.1462223528105573
20709,486,0.002390730694370021
20710,5424.5,0.026684194756399545
20711,19099.27,0.09395310911329323
20712,21893.91,0.1077004992937752
20713,80,3.9353591676872775e-4
20714,7062.41,0.03474139992433288
20715,52535.25,0.2584313471428038
20716,35491,0.17458729027548647
20717,245,0.0012052037451042287
20718,3987.9,0.019617273531025117
20720,97557.53,0.4799049000780332
20721,122700.42,0.6035877784075991
20722,15413.47,0.07582192558796602
20723,47158.03,0.23197973211321457
20724,16990.48,0.08357955153925917
20725,624,0.0030695801507960767
20726,178.5,8.780770142902237e-4
20727,10,4.919198959609097e-5
20729,15,7.378798439413645e-5
20731,159,7.821526345778464e-4
20732,16660.18,0.08195474012290029
20733,8591.1,0.04226133018189772
20734,49,2.4104074902084574e-4
20735,49239.74,0.24222007777942242
20736,17574.63,0.08645310161151483
20737,22759.88,0.1119603780168279
20738,662.5,0.0032589693107410267
20740,55985.85,0.27540553507283094
20741,16193.2,0.07965757259274203
20742,444,0.002184124338066439
20743,21754.45,0.10701446780686812
20744,96990.27,0.47711443527620545
20745,37537.44,0.1846541357943889
20746,17308.44,0.08514366004045647
20747,24257.35,0.11932673088287371
20748,36519.45,0.1796464404454964
20749,3599,0.01770419705563314
20750,2515.76,0.012375523974626181
20751,10899.08,0.053614742996696316
20752,275,0.0013527797138925017
20753,1117,0.005494745237883361
20754,7766.02,0.03820259750430344
20755,2158.54,0.01061828772227462
20756,25,1.2297997399022742e-4
20757,150,7.378798439413646e-4
20758,1886.29,0.009279035805521042
20759,25238.81,0.12415472789377169
20760,27.5,1.3527797138925018e-4
20762,728,0.003581176842595422
20763,6937.68,0.034127828238100844
20764,13764.1,0.06770834639995557
20765,2040,0.010035165877602559
20768,642.5,0.0031605853315488444
20769,40900.44,0.2011974018955543
20770,94850.85,0.4665902026380385
20772,77618.04,0.38181858161489723
20773,640.3,0.0031497630938377044
20774,87764.19,0.4317295121389351
20775,335,0.0016479316514690474
20776,7794.5,0.038342696290673106
20777,25644.29,0.12614936468791396
20778,3251.97,0.015997087440679993
20779,16548.51,0.08140541317508072
20781,44207.49,0.21746543881492955
20782,102910.54,0.5062374213008103
20783,23054.53,0.11340981999027672
20784,16966.52,0.08346168753218694
20785,47805.02,0.23516240464809204
20786,4.4,2.1644475422280027e-5
20787,248,0.0012199613419830561
20791,754.5,0.0037115356150250636
20792,2698.4599999999996,0.013274261624546762
20794,9360.8,0.046047637621108826
20795,246,0.0012101229440638378
20798,25,1.2297997399022742e-4
20800,275,0.0013527797138925017
20801,30,1.475759687882729e-4
20802,75,3.689399219706823e-4
20803,161.5,7.944506319768691e-4
20804,50,2.4595994798045484e-4
20805,2918.5,0.014356682163619149
20806,117,5.755462782742643e-4
20807,75,3.689399219706823e-4
20810,4162.6,0.020476657589268827
20812,9983.2,0.04910934705356954
20813,5800,0.02853135396573276
20814,852308.93,4.192677201721542
20815,2476159.11,12.180719317738586
20816,626049.57,3.079662393407722
20817,1340696.1,6.595150860271974
20818,92990.91,0.4574407877251032
20819,25,1.2297997399022742e-4
